Latitude,Longitude
-37.82594384356791,145.33571028455057
-37.842603958341506,145.36084314614897
-37.899836971267476,145.35643106338262
-37.88706580772837,145.3675713738095
-37.85240918887521,145.33012347516237
-37.844803153230465,145.35705202524048
-37.910824381240694,145.32821469929675
-37.86621047272371,145.3325491578789
-37.840277855815444,145.3512931961746
-37.9177012690347,145.35775851206756
-37.87742115849268,145.30336650639597
-37.85651342392583,145.34758162976942
-37.91422314719387,145.32025668570117
-37.88197196928583,145.37155359005544
-37.88056553174654,145.35528758937093
-37.935090858028786,145.3131003339851
-37.87267874535209,145.3324152661487
-37.932366022841,145.3245603630772
-37.888862965561515,145.36006571679812
-37.937565371211,145.34013764713933
-37.8446211768065,145.35398318350187
-37.858477136488865,145.36385218576936
-37.929612855598016,145.34268772758887
-37.91437422090828,145.3375582015891
-37.90263071325011,145.3144692185351
-37.87433021907026,145.29384325946373
-37.83900908187236,145.33595746293855
-37.93804105860758,145.32732231307347
-37.935631632367304,145.33117577362327
-37.88558914079048,145.32784417244008
-37.84473370105195,145.3280928174243
-37.890492399532896,145.3367792166197
-37.886729298245754,145.33673006472083
-37.91306062777639,145.31740572563308
-37.933169450406716,145.32444820148504
-37.924993418132836,145.32636451244053
-37.88027053882033,145.3117153747376
-37.918465491913835,145.34146006894179
-37.908645872700156,145.35038256175656
-37.92561488642931,145.35020898892407
-37.84258710470464,145.3155428968614
-37.913616759453426,145.31861586436634
-37.83782992883891,145.3475343026156
-37.8952878401625,145.32180212430822
-37.892782988847465,145.33576013274222
-37.92564594332725,145.36305985648127
-37.900925924523946,145.36748612313116
-37.886716512504165,145.3273751162408
-37.91332116112983,145.33079178186696
-37.91889885591578,145.3243481542575
-37.90366933772295,145.33337030360116
-37.936237544492634,145.3385044285022
-37.830595985305,145.32806760803635
-37.915609314036566,145.35518576629437
-37.86710018492152,145.34815306288846
-37.83259078303699,145.34944085050552
-37.882415138629305,145.3388352050044
-37.90818317412552,145.3335504245209
-37.861178421215506,145.36221953099346
-37.871677825298,145.3392459435876
-37.868740849011736,145.30894760709376
-37.880042404099,145.3432898203911
